bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
Northern Cardinal,Cardinalis cardinalis,,"One of our most popular birds, the Northern Cardinal, is the official state bird of no fewer than seven eastern states. Abundant in the Southeast, it has been extending its range northward for decades, and it now brightens winter days with its color and its whistled song as far north as southeastern Canada. Feeders stocked with sunflower seeds may have aided its northward spread. West of the Great Plains, the Northern Cardinal is mostly absent, but it is locally common in the desert Southwest.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/northern-cardinal
Barred Owl,Strix varia,,"The rich baritone hooting of the Barred Owl is a characteristic sound in southern swamps, where members of a pair often will call back and forth to each other. Although the bird is mostly active at night, it will also call and even hunt in the daytime. Only a little smaller than the Great Horned Owl, the Barred Owl is markedly less aggressive, and competition with its tough cousin may keep the Barred out of more open woods.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/barred-owl
Blue Jay,Cyanocitta cristata,,"One of the loudest and most colorful birds of eastern back yards and woodlots, the Blue Jay is unmistakable. Intelligent and adaptable, it may feed on almost anything, and it is quick to take advantage of bird feeders. Besides their raucous jay! jay! calls, Blue Jays make a variety of musical sounds, and they can do a remarkable imitation of the scream of a Red-shouldered Hawk. Not always conspicuous, they slip furtively through the trees when tending their own nest or going to rob the nest of another bird.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/blue-jay
Red-tailed Hawk,Buteo jamaicensis,,"This is the most widespread and familiar large hawk in North America, bulky and broad-winged, designed for effortless soaring. An inhabitant of open country, the Red-tailed Hawk is commonly seen perched on roadside poles or sailing over fields and woods. Although adults usually can be recognized by the trademark reddish-brown tail, the rest of their plumage can be quite variable, especially west of the Mississippi: Western Red-tails can range from blackish to rufous-brown to nearly white.",Least Concern,"Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Landfills and Dumps, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-tailed-hawk
Great Horned Owl,Bubo virginianus,,"Found almost throughout North America and much of South America is this big owl. Aggressive and powerful in its hunting (sometimes known by nicknames such as 'tiger owl'), the Great Horned Owl takes prey as varied as rabbits, hawks, snakes, and even skunks, and will even attack porcupines, often with fatal results for both prey and predator. Great Horned Owls begin nesting very early in the north, and their deep hoots may be heard rolling across the forest on mid-winter nights.",Least Concern,"Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, High Mountains, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/great-horned-owl
House Finch,Haemorhous mexicanus,,"Adaptable, colorful, and cheery-voiced, the House Finch is common from coast to coast today, a familiar visitor to backyard feeders. Native to the Southwest, they are recent arrivals in the East. New York pet shop owners, who had been selling the finches illegally, released their birds in 1940 to escape prosecution; the finches survived and began to colonize the New York suburbs. By 50 years later, they had advanced halfway across the continent, meeting their western kin on the Great Plains.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/house-finch
Gray Catbird,Dumetella carolinensis,,"Rather plain but with lots of personality, the Gray Catbird often hides in the shrubbery, making an odd variety of musical and harsh sounds -- including the catlike mewing responsible for its name. At other times it moves about boldly in the open, jerking its long tail expressively. Most catbirds winter in the southern United States or the tropics, but a few linger far to the north if they have access to a reliable source of berries or a well-stocked bird feeder.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/gray-catbird
Mourning Dove,Zenaida macroura,,"The mournful cooing of the Mourning Dove is one of our most familiar bird sounds. From southern Canada to central Mexico, this is one of our most common birds, often abundant in open country and along roadsides. The European settlement of the continent, with its clearing of the forest, likely helped this species increase. It also helps itself by breeding prolifically in warm climates. The Mourning Doves may raise up to six broods per year, more than any other native bird.",Least Concern,"Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/mourning-dove
American Crow,Corvus brachyrhynchos,,"Crows are thought to be among our most intelligent birds, and the success of the American Crow in adapting to civilization would seem to confirm this. Despite past attempts to exterminate them, American Crows are more common than ever in farmlands, towns, and even cities, and their distinctive caw! is a familiar sound over much of the continent. Sociable, especially when not nesting, American Crows may gather in communal roosts on winter nights, sometimes with thousands or even tens of thousands roosting in one grove.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Landfills and Dumps, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/american-crow
American Robin,Turdus migratorius,,"A very familiar bird over most of North America, running and hopping on lawns with an upright stance, often nesting on porches and windowsills. The American Robin's rich caroling is among the earliest bird songs heard at dawn in spring and summer, often beginning just before first light. In fall and winter, robins may gather by the hundreds in roaming flocks, concentrating at sources of food.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, High Mountains, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/american-robin
Cooper's Hawk,Astur cooperii,,"A medium-sized hawk of the woodlands. Feeding mostly on birds and small mammals, the Cooper's Hawk hunts by stealth, approaching its prey through dense cover and then pouncing with a rapid, powerful flight. Of the three bird-eating Accipitrine hawks, Cooper's is the mid-sized species and the most widespread as a nesting bird south of Canada.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/coopers-hawk
